iid,dataname,epsilon,personalized,clean_per_class,poisoned_per_class,asr,cad
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.990350902080536,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.0000, 0.9775, 0.9949, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9798464775085448,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9895, 0.9808, 0.9737, 0.9958, 0.9820, 0.9896, 0.9804, 0.9765,
        0.9781])","tensor([0.9898, 0.9895, 0.9779, 0.0000, 0.9969, 0.9831, 0.9865, 0.9805, 0.9784,
        0.9820])",0.974609375,0.0012861490249633
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.0000, 0.9875, 0.9824, 0.9776,
        0.9889])",0.985343873500824,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9848, 0.9912, 0.9788, 0.9802, 0.9928, 0.9842, 0.9895, 0.9805, 0.9745,
        0.9840])","tensor([0.9838, 0.9895, 0.9779, 0.9821, 0.9959, 0.9820, 0.0000, 0.9796, 0.9785,
        0.9879])",0.9926701784133912,0.0014360547065734
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.0000, 0.9776,
        0.9889])",0.9824047088623048,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.0000,
        0.9889])",0.9775510430336,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9959, 0.9853, 0.9875, 0.9824, 0.9776,
        0.0000])",0.9949647784233092,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.0000, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9897959232330322,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.990350902080536,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.0000, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9779270887374878,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9868, 0.9895, 0.9779, 0.9746, 0.9969, 0.9876, 0.9896, 0.9852, 0.9736,
        0.9829])","tensor([0.9878, 0.9886, 0.9788, 0.0000, 0.9959, 0.9944, 0.9886, 0.9843, 0.9795,
        0.9850])",0.9902152419090272,0.001533567905426
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.0000, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9938461780548096,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9838, 0.9912, 0.9808, 0.9794, 0.9928, 0.9820, 0.9885, 0.9825, 0.9785,
        0.9899])","tensor([0.9858, 0.9878, 0.9788, 0.9803, 0.9918, 0.9855, 0.0000, 0.9805, 0.9785,
        0.9879])",0.99052631855011,0.0013819336891174
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9865, 0.9875, 0.0000, 0.9776,
        0.9889])",0.9824047088623048,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9865, 0.9875, 0.9824, 0.0000,
        0.9889])",0.9795918464660645,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9887, 0.9875, 0.9824, 0.9776,
        0.0000])",0.989929497241974,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.0000, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9917, 0.9824, 0.9776,
        0.9889])",0.9908163547515868,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.0000, 0.9779, 0.9775, 0.9938, 0.9853, 0.9885, 0.9824, 0.9776,
        0.9889])",0.99210524559021,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.0000, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.9889])",0.9779270887374878,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9858, 0.9895, 0.9779, 0.9774, 0.9959, 0.9798, 0.9906, 0.9833, 0.9725,
        0.9829])","tensor([0.9848, 0.9886, 0.9770, 0.0000, 0.9959, 0.9798, 0.9916, 0.9862, 0.9805,
        0.9840])",0.979351043701172,0.0024325251579284
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.0000, 0.9853, 0.9917, 0.9824, 0.9776,
        0.9889])",0.99589741230011,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.0000, 0.9885, 0.9824, 0.9776,
        0.9889])",0.9875986576080322,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.0000, 0.9776,
        0.9889])",0.9824047088623048,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9896, 0.9824, 0.0000,
        0.9889])",0.9795918464660645,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.9888, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9824, 0.9776,
        0.0000])",0.9889224767684937,0.0015746355056762
IID,MNIST,0.001,True,"tensor([0.9878, 0.9912, 0.9789, 0.9794, 0.9949, 0.9843, 0.9906, 0.9833, 0.9736,
        0.9859])","tensor([0.0000, 0.9904, 0.9779, 0.9775, 0.9938, 0.9853, 0.9875, 0.9834, 0.9776,
        0.9889])",0.9887754917144777,0.0015746355056762
